fieldid priority
864 10.0
874 8.0
826 8.0
565 8.0
539 8.0
707 8.0
726 8.0
765 8.0
385 8.0
815 8.0
590 8.0
840 8.0
335 8.0
848 8.0
309 8.0
236 8.0
615 7.0
411 7.0
437 7.0
462 7.0
488 7.0
285 7.0
259 7.0
359 7.0
212 7.0
638 7.0
684 7.0
798 7.0
748 7.0
783 7.0
514 6.0
662 6.0
859 6.0
860 6.0
663 6.0
873 5.0
784 5.0
515 4.0
360 3.0
863 3.0
589 2.0
727 1.0
764 1.0
841 1.0
872 1.0
