fieldid priority
873 11.0
613 8.0
333 8.0
764 8.0
782 8.0
797 8.0
513 8.0
588 8.0
384 8.0
358 8.0
858 8.0
308 8.0
564 8.0
871 8.0
872 8.0
637 8.0
746 8.0
487 7.0
538 7.0
683 7.0
460 7.0
435 7.0
283 7.0
258 7.0
235 7.0
410 7.0
211 7.0
661 7.0
813 7.0
865 7.0
848 7.0
875 7.0
826 7.0
839 7.0
726 7.0
705 7.0
864 6.0
706 5.0
307 5.0
874 5.0
814 4.0
859 3.0
879 3.0
486 1.0
334 1.0
