fieldid priority
853 10.0
825 10.0
774 9.0
652 9.0
761 8.0
505 8.0
531 8.0
555 8.0
582 8.0
605 8.0
631 8.0
678 8.0
697 8.0
402 8.0
376 8.0
206 8.0
479 8.0
252 8.0
325 8.0
806 8.0
301 8.0
351 8.0
849 8.0
795 7.0
852 7.0
226 7.0
850 6.0
453 6.0
722 6.0
738 6.0
428 6.0
274 5.0
275 5.0
867 5.0
796 4.0
833 4.0
848 4.0
452 3.0
866 3.0
721 3.0
807 3.0
851 3.0
427 2.0
739 2.0
775 2.0
826 2.0
227 2.0
653 1.0
