fieldid priority
248 5.0
824 5.0
600 5.0
771 5.0
371 5.0
803 5.0
627 5.0
320 5.0
474 4.0
693 4.0
578 4.0
550 4.0
500 4.0
759 4.0
448 4.0
849 4.0
398 4.0
829 4.0
423 4.0
296 3.0
347 3.0
526 3.0
297 3.0
269 3.0
850 3.0
674 3.0
758 3.0
848 3.0
830 3.0
828 3.0
825 3.0
823 3.0
794 3.0
675 3.0
793 3.0
735 3.0
734 3.0
719 3.0
718 3.0
802 2.0
346 2.0
527 2.0
551 2.0
270 2.0
648 2.0
772 1.0
447 1.0
475 1.0
397 1.0
