 74.31686 -45.86802
 74.47162 -44.14311
 74.48893 -43.95772
 74.62968 -42.23417
 74.64392 -42.05405
 74.77241 -40.33014
 74.78609 -40.14465
 74.90371 -38.41868
 77.10888 -38.48744
 77.27481 -38.49305
 79.48099 -38.51593
 79.64174 -38.51680
 81.84795 -38.49391
 82.01400 -38.48845
 84.21920 -38.41966
 84.33685 -40.14564
 84.34975 -40.33040
 84.47825 -42.05431
 84.49115 -42.23447
 84.63186 -43.95803
 84.64781 -44.14340
 84.80249 -45.86831
 82.32149 -45.95300
 82.13436 -45.95541
 79.65045 -45.98359
 79.46881 -45.98312
 76.98493 -45.95488
 76.79785 -45.95277
 74.31686 -45.86802
