346.39183  58.22348
346.03158  59.94192
345.99238  60.12670
345.58213  61.84182
345.53657  62.02097
345.06519  63.73417
345.01149  63.91843
344.46405  65.63101
348.64435  65.81528
348.96122  65.82239
353.18000  65.88397
353.48784  65.88310
357.70648  65.82149
358.02354  65.81422
  2.20365  65.62992
  1.65618  63.91735
  1.60146  63.73391
  1.13009  62.02070
  1.08244  61.84169
  0.67230  60.12656
  0.63120  59.94197
  0.27114  58.22352
356.99308  58.36154
356.74556  58.37033
353.45193  58.41633
353.21095  58.41679
349.91730  58.37069
349.66988  58.36161
346.39183  58.22348
