146.99143 -17.15220
147.02408 -15.42411
147.02846 -15.23835
147.05730 -13.51196
147.06027 -13.33155
147.08551 -11.60511
147.08840 -11.41935
147.11019  -9.69111
148.86341  -9.70751
148.99526  -9.71050
150.74694  -9.71595
150.87455  -9.71682
152.62623  -9.71136
152.75818  -9.70853
154.51140  -9.69212
154.53320 -11.42036
154.53551 -11.60537
154.56075 -13.33181
154.56270 -13.51222
154.59153 -15.23861
154.59491 -15.42431
154.62754 -17.15240
152.81891 -17.17631
152.68271 -17.17566
150.87552 -17.18361
150.74341 -17.18314
148.93621 -17.17518
148.80006 -17.17612
146.99143 -17.15220
