fieldid priority
833 11.0
796 9.0
825 9.0
506 8.0
867 8.0
632 8.0
606 8.0
532 8.0
679 8.0
722 8.0
454 8.0
429 8.0
352 8.0
326 8.0
276 8.0
253 8.0
698 8.0
207 8.0
807 8.0
849 8.0
775 8.0
866 8.0
868 7.0
480 7.0
377 7.0
556 7.0
302 7.0
583 7.0
403 7.0
762 7.0
739 6.0
653 6.0
848 5.0
654 5.0
228 5.0
227 5.0
853 4.0
761 3.0
740 3.0
557 3.0
404 2.0
808 2.0
776 2.0
699 2.0
826 2.0
834 1.0
850 1.0
795 1.0
275 1.0
723 1.0
