fieldid priority
873 17.0
869 10.0
209 8.0
407 8.0
560 8.0
535 8.0
724 8.0
743 8.0
763 8.0
779 8.0
826 8.0
836 8.0
610 8.0
848 8.0
355 8.0
865 8.0
330 8.0
280 8.0
877 8.0
586 8.0
381 7.0
432 7.0
457 7.0
484 7.0
510 7.0
305 7.0
256 7.0
231 7.0
702 7.0
657 7.0
681 7.0
876 7.0
797 7.0
811 7.0
856 7.0
634 6.0
635 6.0
810 6.0
279 5.0
879 5.0
825 5.0
483 5.0
878 5.0
855 4.0
380 4.0
866 3.0
870 3.0
849 3.0
872 2.0
874 2.0
